Domain,Section,Study Area,URL
Domain 1: Connect to and Transform Data,1.1. Connect to data sources,1.1.1. Choose an appropriate data source,https://help.tableau.com/current/pro/desktop/en-us/datasource_plan.htm
Domain 1: Connect to and Transform Data,1.1. Connect to data sources,1.1.2. Choose between live connection or extract ,https://help.tableau.com/current/pro/desktop/en-us/perf_extracts.htm
Domain 1: Connect to and Transform Data,1.1. Connect to data sources,1.1.3. Connect to extracts ,https://help.tableau.com/current/pro/desktop/en-us/extracting_data.htm
Domain 1: Connect to and Transform Data,1.1. Connect to data sources,1.1.4. Connect to spreadsheets ,https://help.tableau.com/current/pro/desktop/en-us/examples_excel.htm
Domain 1: Connect to and Transform Data,1.1. Connect to data sources,1.1.5. Connect to .hyper files (or .tde files) ,https://help.tableau.com/current/pro/desktop/en-us/extracting_data.htm
Domain 1: Connect to and Transform Data,1.1. Connect to data sources,1.1.6. Connect to relational databases ,https://help.tableau.com/current/pro/desktop/en-us/basicconnectoverview.htm
Domain 1: Connect to and Transform Data,1.1. Connect to data sources,1.1.7. Pull data from relational databases by using custom SQL queries ,https://help.tableau.com/current/pro/desktop/en-us/customsql.htm
Domain 1: Connect to and Transform Data,1.1. Connect to data sources,1.1.8. Connect to a data source on Tableau Server,https://help.tableau.com/current/pro/desktop/en-us/examples_tableauserver.htm
Domain 1: Connect to and Transform Data,1.1. Connect to data sources,1.1.9. Replace the connected data source with another data source for an existing chart or sheet,https://help.tableau.com/current/pro/desktop/en-us/connect_basic_replace.htm
Domain 1: Connect to and Transform Data,1.2. Prepare data for analysis,"1.2.1. Assess data quality (completeness, consistency, accuracy)",https://help.tableau.com/current/prep/en-us/prep_get_started.htm
Domain 1: Connect to and Transform Data,1.2. Prepare data for analysis,1.2.2. Perform cleaning operations,https://help.tableau.com/current/prep/en-us/prep_clean.htm
Domain 1: Connect to and Transform Data,1.2. Prepare data for analysis,1.2.3. Organize data into folders,https://help.tableau.com/current/pro/desktop/en-us/datafields_dwfeatures.htm
Domain 1: Connect to and Transform Data,1.2. Prepare data for analysis,"1.2.4. Use multiple data sources (establish relationships, create joins, union tables, blend data)",https://help.tableau.com/current/server/en-us/datasource_multitable_normalized.htm
Domain 1: Connect to and Transform Data,1.2. Prepare data for analysis,"1.2.4. Use multiple data sources (establish relationships, create joins, union tables, blend data)",https://help.tableau.com/current/pro/desktop/en-us/joining_tables.htm
Domain 1: Connect to and Transform Data,1.2. Prepare data for analysis,"1.2.4. Use multiple data sources (establish relationships, create joins, union tables, blend data)",https://help.tableau.com/current/pro/desktop/en-us/union.htm
Domain 1: Connect to and Transform Data,1.2. Prepare data for analysis,"1.2.4. Use multiple data sources (establish relationships, create joins, union tables, blend data)",https://help.tableau.com/current/pro/desktop/en-us/multiple_connections.htm
Domain 1: Connect to and Transform Data,1.2. Prepare data for analysis,"1.2.5. Prepare data by using Data Interpreter, pivot, and split",https://help.tableau.com/current/pro/desktop/en-us/data_interpreter.htm
Domain 1: Connect to and Transform Data,1.2. Prepare data for analysis,"1.2.5. Prepare data by using Data Interpreter, pivot, and split",https://help.tableau.com/current/pro/desktop/en-us/pivot.htm
Domain 1: Connect to and Transform Data,1.2. Prepare data for analysis,"1.2.5. Prepare data by using Data Interpreter, pivot, and split",https://help.tableau.com/current/pro/desktop/en-us/split.htm
Domain 1: Connect to and Transform Data,1.2. Prepare data for analysis,1.2.6. Create extract filters,https://help.tableau.com/current/pro/desktop/en-us/extracting_data.htm
